sample_id,part_id,point_or_node_id,x,y,z,dx,dy,dz,normal_deviation,unit,coord_system,support_state,sigma,quality_flag
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N021,400.0,-40.0,0.0,0.0,0.0,-0.011167205789996795,-0.011167205789996795,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N021,400.0,-40.0,0.045,0.0,0.0,-0.004785945338570055,-0.004785945338570055,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N022,400.0,-20.0,0.0,0.0,0.0,-0.015055138679337627,-0.015055138679337627,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N022,400.0,-20.0,0.045,0.0,0.0,-0.0064522022911446975,-0.0064522022911446975,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N023,400.0,0.0,0.0,0.0,0.0,-0.016076863953047225,-0.016076863953047225,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N023,400.0,0.0,0.045,0.0,0.0,-0.0068900845513059535,-0.0068900845513059535,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N024,400.0,20.0,0.0,0.0,0.0,-0.012255138679337625,-0.012255138679337625,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N024,400.0,20.0,0.045,0.0,0.0,-0.005252202291144697,-0.005252202291144697,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_PANEL_L_001,P_PANEL_L_001_N025,400.0,40.0,0.0,0.0,0.0,-0.005567205789996793,-0.005567205789996793,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
SAMPLE_E1_SYNTH_001,P_RIB03_FLANGE_001,P_RIB03_FLANGE_001_N025,400.0,40.0,0.045,0.0,0.0,-0.0023859453385700544,-0.0023859453385700544,mm,CS_ASM_E1,KNOWN_SUPPORT,0.006,PASS
