candidate_id,stage_id,t1_free_mm,t2_free_mm,source,quality_flag
C013,S_LOCATE_01,0.0,0.0,synthetic_process_shear,PASS
C013,S_CLAMP_02,0.0,0.0,synthetic_process_shear,PASS
C013,S_JOIN_03,0.0,0.0,synthetic_process_shear,PASS
C013,S_RELEASE_04,0.0,0.0,synthetic_process_shear,PASS
C014,S_LOCATE_01,0.0,8.125000000000001e-05,synthetic_process_shear,PASS
C014,S_CLAMP_02,0.0,0.00032500000000000004,synthetic_process_shear,PASS
C014,S_JOIN_03,0.0,0.0006500000000000001,synthetic_process_shear,PASS
C014,S_RELEASE_04,0.0,0.00024375000000000002,synthetic_process_shear,PASS
C015,S_LOCATE_01,0.0,0.00016250000000000002,synthetic_process_shear,PASS
C015,S_CLAMP_02,0.0,0.0006500000000000001,synthetic_process_shear,PASS
C015,S_JOIN_03,0.0,0.0013000000000000002,synthetic_process_shear,PASS
C015,S_RELEASE_04,0.0,0.00048750000000000003,synthetic_process_shear,PASS
C016,S_LOCATE_01,0.000125,-0.00016250000000000002,synthetic_process_shear,PASS
C016,S_CLAMP_02,0.0005,-0.0006500000000000001,synthetic_process_shear,PASS
C016,S_JOIN_03,0.001,-0.0013000000000000002,synthetic_process_shear,PASS
C016,S_RELEASE_04,0.000375,-0.00048750000000000003,synthetic_process_shear,PASS
C017,S_LOCATE_01,0.000125,-8.125000000000001e-05,synthetic_process_shear,PASS
C017,S_CLAMP_02,0.0005,-0.00032500000000000004,synthetic_process_shear,PASS
C017,S_JOIN_03,0.001,-0.0006500000000000001,synthetic_process_shear,PASS
C017,S_RELEASE_04,0.000375,-0.00024375000000000002,synthetic_process_shear,PASS
C018,S_LOCATE_01,0.000125,0.0,synthetic_process_shear,PASS
C018,S_CLAMP_02,0.0005,0.0,synthetic_process_shear,PASS
C018,S_JOIN_03,0.001,0.0,synthetic_process_shear,PASS
C018,S_RELEASE_04,0.000375,0.0,synthetic_process_shear,PASS
C019,S_LOCATE_01,0.000125,8.125000000000001e-05,synthetic_process_shear,PASS
C019,S_CLAMP_02,0.0005,0.00032500000000000004,synthetic_process_shear,PASS
C019,S_JOIN_03,0.001,0.0006500000000000001,synthetic_process_shear,PASS
C019,S_RELEASE_04,0.000375,0.00024375000000000002,synthetic_process_shear,PASS
C020,S_LOCATE_01,0.000125,0.00016250000000000002,synthetic_process_shear,PASS
C020,S_CLAMP_02,0.0005,0.0006500000000000001,synthetic_process_shear,PASS
C020,S_JOIN_03,0.001,0.0013000000000000002,synthetic_process_shear,PASS
C020,S_RELEASE_04,0.000375,0.00048750000000000003,synthetic_process_shear,PASS
C021,S_LOCATE_01,0.00025,-0.00016250000000000002,synthetic_process_shear,PASS
C021,S_CLAMP_02,0.001,-0.0006500000000000001,synthetic_process_shear,PASS
C021,S_JOIN_03,0.002,-0.0013000000000000002,synthetic_process_shear,PASS
C021,S_RELEASE_04,0.00075,-0.00048750000000000003,synthetic_process_shear,PASS
C022,S_LOCATE_01,0.00025,-8.125000000000001e-05,synthetic_process_shear,PASS
C022,S_CLAMP_02,0.001,-0.00032500000000000004,synthetic_process_shear,PASS
C022,S_JOIN_03,0.002,-0.0006500000000000001,synthetic_process_shear,PASS
C022,S_RELEASE_04,0.00075,-0.00024375000000000002,synthetic_process_shear,PASS
C023,S_LOCATE_01,0.00025,0.0,synthetic_process_shear,PASS
C023,S_CLAMP_02,0.001,0.0,synthetic_process_shear,PASS
C023,S_JOIN_03,0.002,0.0,synthetic_process_shear,PASS
C023,S_RELEASE_04,0.00075,0.0,synthetic_process_shear,PASS
C024,S_LOCATE_01,0.00025,8.125000000000001e-05,synthetic_process_shear,PASS
C024,S_CLAMP_02,0.001,0.00032500000000000004,synthetic_process_shear,PASS
C024,S_JOIN_03,0.002,0.0006500000000000001,synthetic_process_shear,PASS
C024,S_RELEASE_04,0.00075,0.00024375000000000002,synthetic_process_shear,PASS
C025,S_LOCATE_01,0.00025,0.00016250000000000002,synthetic_process_shear,PASS
C025,S_CLAMP_02,0.001,0.0006500000000000001,synthetic_process_shear,PASS
C025,S_JOIN_03,0.002,0.0013000000000000002,synthetic_process_shear,PASS
C025,S_RELEASE_04,0.00075,0.00048750000000000003,synthetic_process_shear,PASS
