point_id,contact_domain_id,local_index,x_i0,x_j0,normal_n,tangent_basis_T,area_weight,local_coordinate_system_id,candidate_flag,edge_or_interior_flag,correspondence_quality,metadata
C011,CD_G_RIB03_PANEL_L,10,"[200.0,-40.0,0.0]","[200.0,-40.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,edge,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C012,CD_G_RIB03_PANEL_L,11,"[200.0,-20.0,0.0]","[200.0,-20.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,interior,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C013,CD_G_RIB03_PANEL_L,12,"[200.0,0.0,0.0]","[200.0,0.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,interior,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C014,CD_G_RIB03_PANEL_L,13,"[200.0,20.0,0.0]","[200.0,20.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,interior,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C015,CD_G_RIB03_PANEL_L,14,"[200.0,40.0,0.0]","[200.0,40.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,edge,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C016,CD_G_RIB03_PANEL_L,15,"[300.0,-40.0,0.0]","[300.0,-40.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,edge,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C017,CD_G_RIB03_PANEL_L,16,"[300.0,-20.0,0.0]","[300.0,-20.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,interior,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C018,CD_G_RIB03_PANEL_L,17,"[300.0,0.0,0.0]","[300.0,0.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,interior,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C019,CD_G_RIB03_PANEL_L,18,"[300.0,20.0,0.0]","[300.0,20.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,interior,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C020,CD_G_RIB03_PANEL_L,19,"[300.0,40.0,0.0]","[300.0,40.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,edge,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C021,CD_G_RIB03_PANEL_L,20,"[400.0,-40.0,0.0]","[400.0,-40.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,edge,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C022,CD_G_RIB03_PANEL_L,21,"[400.0,-20.0,0.0]","[400.0,-20.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,edge,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C023,CD_G_RIB03_PANEL_L,22,"[400.0,0.0,0.0]","[400.0,0.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,edge,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C024,CD_G_RIB03_PANEL_L,23,"[400.0,20.0,0.0]","[400.0,20.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,edge,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
C025,CD_G_RIB03_PANEL_L,24,"[400.0,40.0,0.0]","[400.0,40.0,0.045]","[0.0,0.0,1.0]","[[1.0,0.0,0.0],[0.0,1.0,0.0]]",1280.0,CS_ASSEMBLY,True,edge,PASS,"{""note"": ""converted from E1_min_closed_loop/I_Gamma/contact_points.csv"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:38""}"
