object_name,file_path,group,row_mode
LocatorCompliance,I_stage/locator_compliance.csv,I_stage,synthetic_multi_part
LocatorElement,I_stage/locator_element.csv,I_stage,synthetic_multi_part
OverconstraintLocatorGroup,I_stage/overconstraint_locator_group.csv,I_stage,synthetic_multi_part
PartStageState,I_stage/part_stage_state.csv,I_stage,synthetic_multi_part
ReducedForceVector,I_stage/reduced_force_vector.csv,I_stage,synthetic_multi_part
ReleaseHistoryRecord,I_stage/release_history_record.csv,I_stage,synthetic_multi_part
StageIncrement,I_stage/stage_increment.csv,I_stage,synthetic_multi_part
StageInput,I_stage/stage_input.csv,I_stage,synthetic_multi_part
StageParameterSnapshot,I_stage/stage_parameter_snapshot.csv,I_stage,synthetic_multi_part
StagePosteriorPackage,I_stage/stage_posterior_package.csv,I_stage,synthetic_multi_part
StageStateSnapshot,I_stage/stage_state_snapshot.csv,I_stage,synthetic_multi_part
StageTransitionRecord,I_stage/stage_transition_record.csv,I_stage,synthetic_multi_part
MonteCarloConfig,I_stat/monte_carlo_config.csv,I_stat,synthetic_multi_part
RandomSample,I_stat/random_sample.csv,I_stat,synthetic_multi_part
SensitivityResult,I_stat/sensitivity_result.csv,I_stat,synthetic_multi_part
StatisticalPredictionResult,I_stat/statistical_prediction_result.csv,I_stat,synthetic_multi_part
MatrixManifest,matrices/matrix_manifest.csv,matrices,synthetic_multi_part
VectorLayout,matrices/vector_layout.csv,matrices,synthetic_multi_part
ComplianceSeparationReport,parameter_library/compliance_separation_report.csv,parameter_library,synthetic_multi_part
DeformationDecompositionResult,parameter_library/deformation_decomposition_result.csv,parameter_library,synthetic_multi_part
InterfaceParameter,parameter_library/interface_parameter.csv,parameter_library,synthetic_multi_part
LocalResponseData,parameter_library/local_response_data.csv,parameter_library,synthetic_multi_part
ParameterEstimate,parameter_library/parameter_estimate.csv,parameter_library,synthetic_multi_part
ParameterLibrary,parameter_library/parameter_library.csv,parameter_library,synthetic_multi_part
ValidityDomain,parameter_library/validity_domain.csv,parameter_library,synthetic_multi_part
ContributionRecord,prediction/contribution_record.csv,prediction,synthetic_multi_part
DeformationContributionLedger,prediction/deformation_contribution_ledger.csv,prediction,synthetic_multi_part
DoubleCountCheckResult,prediction/double_count_check_result.csv,prediction,synthetic_multi_part
EquivalentErrorItem,prediction/equivalent_error_item.csv,prediction,synthetic_multi_part
JtTransferModel,prediction/jt_transfer_model.csv,prediction,synthetic_multi_part
KcpPredictionResult,prediction/kcp_prediction_result.csv,prediction,synthetic_multi_part
SmsBasis,sms_update/sms_basis.csv,sms_update,synthetic_multi_part
SmsField,sms_update/sms_field.csv,sms_update,synthetic_multi_part
SmsPointcloudMapping,sms_update/sms_pointcloud_mapping.csv,sms_update,synthetic_multi_part
SmsUpdateConfig,sms_update/sms_update_config.csv,sms_update,synthetic_multi_part
SmsUpdateResult,sms_update/sms_update_result.csv,sms_update,synthetic_multi_part
SmsUpdateTransferPackage,sms_update/sms_update_transfer_package.csv,sms_update,synthetic_multi_part
ActiveSetStabilityTrace,solver/active_set_stability_trace.csv,solver,synthetic_multi_part
ComplementaritySolverConfig,solver/complementarity_solver_config.csv,solver,synthetic_multi_part
ContactComputationTrace,solver/contact_computation_trace.csv,solver,synthetic_multi_part
ContactMode,solver/contact_mode.csv,solver,synthetic_multi_part
ExtendedLcpSolution,solver/extended_lcp_solution.csv,solver,synthetic_multi_part
ForceNonuniquenessReport,solver/force_nonuniqueness_report.csv,solver,synthetic_multi_part
InterfaceLcpModel,solver/interface_lcp_model.csv,solver,synthetic_multi_part
LcpRegularizationConfig,solver/lcp_regularization_config.csv,solver,synthetic_multi_part
LcpSolution,solver/lcp_solution.csv,solver,synthetic_multi_part
OverconstraintContactModel,solver/overconstraint_contact_model.csv,solver,synthetic_multi_part
CheckItem,validation/check_item.csv,validation,synthetic_multi_part
ModelVersionRelease,validation/model_version_release.csv,validation,synthetic_multi_part
QualityGate,validation/quality_gate.csv,validation,synthetic_multi_part
RunLog,validation/run_log.csv,validation,synthetic_multi_part
ValidationResult,validation/validation_result.csv,validation,synthetic_multi_part
